date,units,rolling_28d
2017-05-18,628488.0,870508.2589285715
2017-05-19,773775.44,869721.8147321428
2017-05-20,1.0356674e+06,871890.1919642857
2017-05-21,1.2019389e+06,874099.7857142857
2017-05-22,778935.1,874952.0223214285
2017-05-23,723151.75,875100.4397321428
2017-05-24,746303.6,873855.59375
2017-05-25,620108.25,873684.1026785715
2017-05-26,984511.1,880358.1919642857
2017-05-27,932219.9,875498.9419642857
2017-05-28,1.0617716e+06,876231.8839285715
2017-05-29,776813.1,857307.375
2017-05-30,742471.25,851419.9866071428
2017-05-31,858062.1,849056.2321428572
2017-06-01,766858.2,850849.2165178572
2017-06-02,918421.3,855764.3191964285
2017-06-03,1.1761381e+06,860647.1852678572
2017-06-04,1.3765115e+06,865973.2879464285
2017-06-05,912692.9,870844.1941964285
2017-06-06,805546.6,874049.03125
2017-06-07,842979.8,876794.6696428572
2017-06-08,667099.8,877453.5758928572
2017-06-09,795075.1,878534.421875
2017-06-10,993732.7,874132.84375
2017-06-11,1.213674e+06,885899.7745535715
2017-06-12,768349.75,883946.7098214285
2017-06-13,729412.94,881147.0691964285
2017-06-14,785885.94,879164.1517857143
2017-06-15,660338.4,880301.6651785715
2017-06-16,834786.44,882480.6294642857
2017-06-17,1.0961335e+06,884640.1339285715
2017-06-18,965144.1,876183.1785714285
2017-06-19,791146.4,876619.2946428572
2017-06-20,787326.7,878911.2566964285
2017-06-21,766159.0,879620.3772321428
2017-06-22,609857.8,879254.2901785715
2017-06-23,761049.75,871273.5267857143
2017-06-24,963268.25,872382.3973214285
2017-06-25,1.0926109e+06,873483.7991071428
2017-06-26,755367.9,872717.8973214285
2017-06-27,682218.5,870566.0133928572
2017-06-28,731897.0,866060.1160714285
2017-06-29,630811.8,861201.3169642857
2017-06-30,802273.1,857053.1674107143
2017-07-01,1.2075299e+06,858174.3013392857
2017-07-02,1.2963792e+06,855312.4352678572
2017-07-03,925143.44,855757.0982142857
2017-07-04,832359.3,856714.6941964285
2017-07-05,844301.6,856761.9017857143
2017-07-06,700272.0,857946.6227678572
2017-07-07,805792.3,858329.3794642857
2017-07-08,998347.2,858494.1830357143
2017-07-09,1.1008334e+06,854464.1607142857
2017-07-10,804158.9,855743.0580357143
2017-07-11,730532.75,855783.0513392857
2017-07-12,748800.0,854458.5535714285
2017-07-13,629651.4,853362.5892857143
2017-07-14,765489.6,850887.703125
2017-07-15,969077.1,846349.9754464285
2017-07-16,1.1008038e+06,851194.9620535715
2017-07-17,818325.5,852165.6450892857
2017-07-18,730133.7,850123.0379464285
2017-07-19,767978.75,850188.0290178572
2017-07-20,688288.06,852989.109375
2017-07-21,782418.3,853752.2723214285
2017-07-22,932902.06,852667.765625
2017-07-23,1.02428875e+06,850227.6897321428
2017-07-24,816564.3,852413.2767857143
2017-07-25,713581.6,853533.3883928572
2017-07-26,740653.06,853846.1049107143
2017-07-27,659849.8,854883.1763392857
2017-07-28,835098.7,856055.5178571428
2017-07-29,1.0323109e+06,849797.6964285715
2017-07-30,1.1237525e+06,843632.4553571428
2017-07-31,885856.8,842229.3616071428
2017-08-01,988527.75,847806.8058035715
2017-08-02,964712.0,852107.1763392857
2017-08-03,728068.5,853099.9084821428
2017-08-04,827775.7,853885.0290178572
2017-08-05,965693.6,852718.8303571428
2017-08-06,1.0495591e+06,850887.6071428572
2017-08-07,797464.94,850648.5379464285
2017-08-08,717766.4,850192.5959821428
2017-08-09,734139.7,849669.0133928572
2017-08-10,651386.94,850445.2834821428
2017-08-11,826373.75,852619.7165178572
2017-08-12,792630.56,846318.0535714285
2017-08-13,865639.7,837919.3370535715
2017-08-14,760922.4,835869.2254464285
2017-08-15,762661.94,837030.9486607143
