feature,importance
rolling_mean_7,32.46891784598624
lag_7,9.751257749514469
day_of_month,9.577238117248372
avg_store_transactions,8.450113600839135
lag_14,7.860999810059056
rolling_mean_28,6.350225198407886
week_of_year,4.077439412633003
lag_28,3.9068384633053985
promo_rate,3.0269938032294683
day_of_week,2.988198934769868
oil_price,2.5772174463367294
month,2.306087343971108
cluster,2.247758813814868
rolling_std_28,2.1734811190422003
holiday_rate,1.8744016404801607
is_month_end,0.2879418262811628
is_month_start,0.0748888740809167
