trial,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,n_estimators,mae,rmse,mape_pct
1,10,0.01,0.8,0.8,1.0,500,2353.426025390625,3608.231977021433,5.39202356338501
2,8,0.01,0.8,1.0,0.5,800,2384.348876953125,3582.7416875906642,5.427156925201416
3,8,0.01,0.8,0.6,0.5,500,2388.67236328125,3651.4262966681936,5.4976725578308105
4,6,0.01,0.8,0.8,0.5,500,2556.779296875,3906.214279836681,5.973926544189453
5,10,0.03,1.0,1.0,0.5,1000,2355.474365234375,3647.6578786942177,5.356359958648682
6,10,0.01,0.6,1.0,1.0,1000,2327.78076171875,3505.1912929253945,5.286648750305176
7,6,0.01,0.8,1.0,0.5,500,2549.67724609375,3919.464504240343,5.925158977508545
8,10,0.03,1.0,1.0,2.0,500,2380.271728515625,3564.179007850195,5.421700477600098
9,8,0.01,1.0,0.6,1.0,1000,2363.887451171875,3582.792625871612,5.361576080322266
10,8,0.01,1.0,0.6,0.5,800,2352.306884765625,3556.0733963179105,5.3801140785217285
11,6,0.05,0.8,0.6,0.5,800,2352.472900390625,3574.6443179706703,5.36027193069458
12,6,0.03,1.0,0.6,1.0,800,2339.942138671875,3466.2694644242533,5.462527275085449
13,10,0.03,0.8,0.8,2.0,800,2317.810546875,3484.6077254118577,5.24481201171875
14,8,0.01,0.8,1.0,1.0,500,2436.87744140625,3739.939438012332,5.576754570007324
15,10,0.05,0.6,1.0,1.0,500,2315.175537109375,3451.505758361124,5.240693092346191
16,10,0.05,0.6,1.0,0.5,1000,2358.49951171875,3529.6577737792086,5.330063343048096
17,8,0.03,0.6,0.8,1.0,800,2349.27392578125,3547.9174173027195,5.328246116638184
18,10,0.05,0.6,0.8,2.0,800,2333.591796875,3521.999716070403,5.338320255279541
19,8,0.01,0.6,0.8,0.5,800,2367.469482421875,3545.0122707827118,5.426019668579102
20,8,0.01,1.0,1.0,1.0,1000,2459.012939453125,3761.986709173758,5.565157413482666
21,6,0.05,0.8,0.6,1.0,1000,2339.386474609375,3526.2448865613405,5.341773986816406
22,10,0.01,1.0,1.0,0.5,500,2450.768310546875,3810.2056374951735,5.599462985992432
23,6,0.03,1.0,0.8,1.0,1000,2275.43798828125,3392.1333994994948,5.381648540496826
24,6,0.05,1.0,1.0,2.0,500,2315.145751953125,3481.600350413585,5.4272966384887695
25,8,0.01,0.8,0.8,2.0,500,2424.4111328125,3695.8425291129493,5.591815948486328
26,8,0.01,0.8,1.0,2.0,800,2370.107421875,3575.2911769532843,5.393354415893555
27,6,0.03,0.6,0.8,1.0,800,2316.49072265625,3465.3973798108636,5.399392604827881
28,6,0.01,0.8,0.6,2.0,500,2564.145263671875,3952.689843638127,5.98538064956665
29,10,0.01,0.8,0.6,2.0,500,2370.019287109375,3648.2069568488023,5.392267227172852
30,8,0.03,0.6,0.8,0.5,1000,2342.90087890625,3418.1382359407294,5.330686092376709
